1234
10
3880698
3535
 0 1 1 70 126  18 (D 0,1,1) (S 96,16,17) (S 74,19,32) (S 83,31,39) (S 90,30,17) (S 75,11,6) (S 106,3,4) (S 93,1,9) (S 69,14,22) (S 114,13,9) (S 44,14,23) (S 99,24,23) (S 110,15,16) (S 68,17,10) (S 60,11,12) (S 121,7,12) (S 87,6,11) (D 0,1,1)
 0 1 2 70 135  17 (D 0,1,1) (S 79,16,15) (S 103,23,15) (S 116,23,29) (S 45,30,38) (S 101,36,38) (S 41,36,44) (S 102,43,48) (S 82,49,50) (S 76,45,44) (S 71,43,44) (S 27,43,43) (S 34,42,43) (S 59,48,49) (S 95,45,49) (S 30,48,48) (D 0,1,1)
 0 1 3 70 130  18 (D 0,1,1) (S 92,8,13) (S 54,21,22) (S 88,20,25) (S 70,33,25) (S 21,33,33) (S 47,34,42) (S 55,41,42) (S 22,34,34) (S 84,26,25) (S 33,26,34) (S 16,26,26) (S 120,25,20) (S 104,25,26) (S 65,25,33) (S 61,23,24) (S 91,15,23) (D 0,1,1)
 0 1 4 70 132  13 (D 0,1,1) (S 85,22,13) (S 50,21,26) (S 113,1,16) (S 51,17,24) (S 105,29,37) (S 56,38,46) (S 78,50,49) (S 57,45,50) (S 42,45,48) (S 107,46,45) (S 108,27,28) (D 0,1,1)
 0 1 5 70 115  15 (D 0,1,1) (S 97,9,1) (S 40,22,23) (S 48,15,24) (S 89,28,22) (S 67,13,22) (S 117,13,8) (S 35,14,15) (S 14,23,23) (S 94,24,29) (S 26,39,39) (S 18,30,30) (S 118,29,23) (S 15,24,24) (D 0,1,1)
 0 1 6 69 106  14 (D 0,1,1) (S 37,9,14) (S 6,9,9) (S 109,1,5) (S 100,6,5) (S 7,10,10) (S 112,5,6) (S 63,3,2) (S 38,1,15) (S 66,28,27) (S 49,28,36) (S 25,38,38) (S 115,37,29) (D 0,1,1)
 0 1 7 70 141  15 (D 0,1,1) (S 53,5,10) (S 8,11,11) (S 122,12,11) (S 43,12,19) (S 77,32,19) (S 52,32,40) (S 98,39,40) (S 86,39,30) (S 80,29,24) (S 17,29,29) (S 72,39,31) (S 46,28,29) (S 24,37,37) (D 0,1,1)
 0 1 8 70 141  15 (D 0,1,1) (S 13,22,22) (S 39,20,21) (S 10,13,13) (S 64,8,9) (S 119,17,30) (S 36,17,18) (S 12,17,17) (S 4,5,5) (S 111,10,11) (S 9,12,12) (S 62,18,19) (S 20,32,32) (S 19,31,31) (D 0,1,1)
 0 1 9 67 158  11 (D 0,1,1) (S 11,16,16) (S 73,27,35) (S 58,44,43) (S 23,35,35) (S 28,44,44) (S 81,47,40) (S 29,47,47) (S 32,46,50) (S 31,49,49) (D 0,1,1)
 0 1 10 28 50  6 (D 0,1,1) (S 5,6,6) (S 2,3,3) (S 3,4,4) (S 1,2,2) (D 0,1,1)
