602
10
8465297
2374
 0 1 1 27 65  10 (D 0,1,1) (S 32,2,1) (S 30,4,19) (S 29,1,24) (S 35,8,24) (S 33,1,27) (S 31,24,27) (S 26,23,26) (S 24,8,9) (D 0,1,1)
 0 1 2 27 81  9 (D 0,1,1) (S 39,1,19) (S 16,12,13) (S 34,13,14) (S 28,5,9) (S 21,1,15) (S 40,16,17) (S 38,3,8) (D 0,1,1)
 0 1 3 27 68  7 (D 0,1,1) (S 13,20,20) (S 27,21,23) (S 37,23,24) (S 9,12,12) (S 42,3,6) (D 0,1,1)
 0 1 4 27 63  7 (D 0,1,1) (S 18,4,5) (S 17,18,21) (S 25,21,22) (S 22,25,26) (S 15,22,22) (D 0,1,1)
 0 1 5 26 58  7 (D 0,1,1) (S 11,17,17) (S 43,15,17) (S 23,15,20) (S 20,14,20) (S 14,21,21) (D 0,1,1)
 0 1 6 26 61  6 (D 0,1,1) (S 8,10,10) (S 10,14,14) (S 41,14,18) (S 19,22,25) (D 0,1,1)
 0 1 7 27 62  5 (D 0,1,1) (S 5,6,6) (S 12,18,18) (S 45,13,15) (D 0,1,1)
 0 1 8 26 64  6 (D 0,1,1) (S 4,5,5) (S 7,8,8) (S 44,26,27) (S 6,7,7) (D 0,1,1)
 0 1 9 27 45  4 (D 0,1,1) (S 3,4,4) (S 2,3,3) (D 0,1,1)
 0 1 10 18 35  4 (D 0,1,1) (S 1,2,2) (S 36,6,9) (D 0,1,1)
